UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21751568     RESP   2079 
     21751576     RESP   2131 
     21751584     RESP   2167 
     21751592     RESP   2198 
     21751600     RESP   2232 
     21751608     RESP   2266 
     21751616     RESP   2320 
     21751624     RESP   2360 
     21751632     RESP   2408 
     21751640     RESP   2448 
     21751648     RESP   2498 
     21751656     RESP   2549 
     21751664     RESP   2585 
     21751672     RESP   2628 
     21751680     RESP   2660 
     21751688     RESP   2691 
     21751696     RESP   2729 
     21751704     RESP   2770 
     21751712     RESP   2804 
     21751720     RESP   2840 
     21751728     RESP   2880 
     21751736     RESP   2916 
     21751744     RESP   2966 
     21751752     RESP   3013 
     21751760     RESP   3062 
     21751768     RESP   3103 
     21751776     RESP   3157 
     21751784     RESP   3200 
     21751792     RESP   3251 
     21751800     RESP   3294 
     21751808     RESP   3344 
     21751816     RESP   3377 
     21751824     RESP   3422 
     21751832     RESP   3454 
     21751840     RESP   3515 
     21751848     RESP   3560 
     21751856     RESP   3616 
     21751864     RESP   3627 
     21751872     RESP   3643 
     21751880     RESP   3668 
     21751888     RESP   3677 
     21751896     RESP   3672 
     21751904     RESP   3643 
     21751912     RESP   3638 
     21751920     RESP   3650 
     21751928     RESP   3663 
     21751936     RESP   3686 
     21751944     RESP   3710 
     21751952     RESP   3778 
     21751960     RESP   3789 
     21751968     RESP   3843 
     21751976     RESP   3875 
     21751984     RESP   3911  PULS_TRIGGER
     21751992     RESP   3924 
     21752000     RESP   3942 
     21752008     RESP   3956 
     21752016     RESP   3956 
     21752024     RESP   3960 
     21752032     RESP   3965 
     21752040     RESP   3983 
     21752048     RESP   4001 
     21752056     RESP   4025 
     21752064     RESP   4057 
     21752072     RESP   4091 
     21752080     RESP   4095 
     21752088     RESP   4095 
     21752096     RESP   4095 
     21752104     RESP   4095 
     21752112     RESP   4095 
     21752120     RESP   4095 
     21752128     RESP   4095 
     21752136     RESP   4095 
     21752144     RESP   4095 
     21752152     RESP   4095 
     21752160     RESP   4084 
     21752168     RESP   4061 
     21752176     RESP   4016 
     21752184     RESP   3956 
     21752192     RESP   3875 
     21752200     RESP   3789 
     21752208     RESP   3704 
     21752216     RESP   3625 
     21752224     RESP   3578 
     21752232     RESP   3517 
     21752240     RESP   3485 
     21752248     RESP   3445 
     21752256     RESP   3391 
     21752264     RESP   3308 
     21752272     RESP   3224 
     21752280     RESP   3146 
     21752288     RESP   3049 
     21752296     RESP   2966 
     21752304     RESP   2858 
     21752312     RESP   2768 
     21752320     RESP   2678 
     21752328     RESP   2599 
     21752336     RESP   2554 
     21752344     RESP   2527 
     21752352     RESP   2495 
     21752360     RESP   2471 
     21752368     RESP   2430 
     21752376     RESP   2399 
     21752384     RESP   2369 
     21752392     RESP   2345 
     21752400     RESP   2302 
     21752408     RESP   2257 
     21752416     RESP   2205 
     21752424     RESP   2153 
     21752432     RESP   2120 
     21752440     RESP   2086 
     21752448     RESP   2057 
     21752456     RESP   2025 
     21752464     RESP   2012 
     21752472     RESP   1998 
     21752480     RESP   1958 
     21752488     RESP   1922 
     21752496     RESP   1879 
     21752504     RESP   1852 
     21752512     RESP   1800 
     21752520     RESP   1773 
     21752528     RESP   1730 
     21752536     RESP   1701 
     21752544     RESP   1665 
     21752552     RESP   1643 
     21752560     RESP   1634 
     21752568     RESP   1611 
     21752576     RESP   1600 
     21752584     RESP   1564 
     21752592     RESP   1553 
     21752600     RESP   1528 
     21752608     RESP   1510 
     21752616     RESP   1492 
     21752624     RESP   1467 
     21752632     RESP   1458 
     21752640     RESP   1431 
     21752648     RESP   1424 
     21752656     RESP   1400 
     21752664     RESP   1375 
     21752672     RESP   1323 
     21752680     RESP   1276 
     21752688     RESP   1242 
     21752696     RESP   1217 
     21752704     RESP   1204 
     21752712     RESP   1197 
     21752720     RESP   1202 
     21752728     RESP   1204 
     21752736     RESP   1213 
     21752744     RESP   1208 
     21752752     RESP   1202 
     21752760     RESP   1197  PULS_TRIGGER
     21752768     RESP   1188 
     21752776     RESP   1186 
     21752784     RESP   1168 
     21752792     RESP   1152 
     21752800     RESP   1148 
     21752808     RESP   1148 
     21752816     RESP   1154 
     21752824     RESP   1159 
     21752832     RESP   1157 
     21752840     RESP   1159 
     21752848     RESP   1152 
     21752856     RESP   1168 
     21752864     RESP   1166 
     21752872     RESP   1168 
     21752880     RESP   1159 
     21752888     RESP   1159 
     21752896     RESP   1136 
     21752904     RESP   1163 
     21752912     RESP   1177 
     21752920     RESP   1168 
     21752928     RESP   1181 
     21752936     RESP   1175 
     21752944     RESP   1186 
     21752952     RESP   1188 
     21752960     RESP   1202 
     21752968     RESP   1195 
     21752976     RESP   1193 
     21752984     RESP   1206 
     21752992     RESP   1211 
     21753000     RESP   1211 
     21753008     RESP   1208 
     21753016     RESP   1215 
     21753024     RESP   1229 
     21753032     RESP   1238 
     21753040     RESP   1249 
     21753048     RESP   1253 
     21753056     RESP   1262 
     21753064     RESP   1265 
     21753072     RESP   1262 
     21753080     RESP   1240 
     21753088     RESP   1222 
     21753096     RESP   1193 
     21753104     RESP   1179 
     21753112     RESP   1188 
     21753120     RESP   1190 
     21753128     RESP   1202 
     21753136     RESP   1217 
     21753144     RESP   1233 
     21753152     RESP   1247 
     21753160     RESP   1247 
     21753168     RESP   1267 
     21753176     RESP   1269 
     21753184     RESP   1283 
     21753192     RESP   1287 
     21753200     RESP   1296 
     21753208     RESP   1310 
     21753216     RESP   1310 
     21753224     RESP   1323 
     21753232     RESP   1323 
     21753240     RESP   1341 
     21753248     RESP   1352 
     21753256     RESP   1364 
     21753264     RESP   1368 
     21753272     RESP   1370 
     21753280     RESP   1382 
     21753288     RESP   1384 
     21753296     RESP   1400 
     21753304     RESP   1400 
     21753312     RESP   1404 
     21753320     RESP   1409 
     21753328     RESP   1420 
     21753336     RESP   1429 
     21753344     RESP   1433 
     21753352     RESP   1440 
     21753360     RESP   1442 
     21753368     RESP   1449 
     21753376     RESP   1454 
     21753384     RESP   1463 
     21753392     RESP   1465 
     21753400     RESP   1467 
     21753408     RESP   1472 
     21753416     RESP   1483 
     21753424     RESP   1481 
     21753432     RESP   1492 
     21753440     RESP   1490 
     21753448     RESP   1505 
     21753456     RESP   1501 
     21753464     RESP   1510 
     21753472     RESP   1517 
     21753480     RESP   1521 
     21753488     RESP   1528 
     21753496     RESP   1528 
     21753504     RESP   1546 
     21753512     RESP   1553 
     21753520     RESP   1555 
     21753528     RESP   1546 
     21753536     RESP   1535 
     21753544     RESP   1523 
     21753552     RESP   1530 
     21753560     RESP   1499 
     21753568     RESP   1510 
     21753576     RESP   1512 
     21753584     RESP   1530 
     21753592     RESP   1535 
     21753600     RESP   1544 
     21753608     RESP   1559 
     21753616     RESP   1564 
     21753624     RESP   1571  PULS_TRIGGER
     21753632     RESP   1573 
     21753640     RESP   1586 
     21753648     RESP   1591 
     21753656     RESP   1593 
     21753664     RESP   1593 
     21753672     RESP   1595 
     21753680     RESP   1609 
     21753688     RESP   1613 
     21753696     RESP   1627 
     21753704     RESP   1631 
     21753712     RESP   1643 
     21753720     RESP   1640 
     21753728     RESP   1647 
     21753736     RESP   1654 
     21753744     RESP   1658 
     21753752     RESP   1663 
     21753760     RESP   1661 
     21753768     RESP   1672 
     21753776     RESP   1676 
     21753784     RESP   1679 
     21753792     RESP   1681 
     21753800     RESP   1685 
     21753808     RESP   1692 
     21753816     RESP   1694 
     21753824     RESP   1712 
     21753832     RESP   1706 
     21753840     RESP   1710 
     21753848     RESP   1712 
     21753856     RESP   1724 
     21753864     RESP   1724 
     21753872     RESP   1730 
     21753880     RESP   1735 
     21753888     RESP   1730 
     21753896     RESP   1746 
     21753904     RESP   1744 
     21753912     RESP   1753 
     21753920     RESP   1753 
     21753928     RESP   1751 
     21753936     RESP   1755 
     21753944     RESP   1760 
     21753952     RESP   1766 
     21753960     RESP   1764 
     21753968     RESP   1778 
     21753976     RESP   1773 
     21753984     RESP   1791 
     21753992     RESP   1778 
     21754000     RESP   1769 
     21754008     RESP   1757 
     21754016     RESP   1744 
     21754024     RESP   1730 
     21754032     RESP   1726 
     21754040     RESP   1733 
     21754048     RESP   1744 
     21754056     RESP   1751 
     21754064     RESP   1755 
     21754072     RESP   1760 
     21754080     RESP   1789 
     21754088     RESP   1769 
     21754096     RESP   1784 
     21754104     RESP   1782 
     21754112     RESP   1793 
     21754120     RESP   1789 
     21754128     RESP   1796 
     21754136     RESP   1805 
     21754144     RESP   1811 
     21754152     RESP   1816 
     21754160     RESP   1814 
     21754168     RESP   1836 
     21754176     RESP   1845 
     21754184     RESP   1852 
     21754192     RESP   1852 
     21754200     RESP   1859 
     21754208     RESP   1870 
     21754216     RESP   1872 
     21754224     RESP   1888 
     21754232     RESP   1886 
     21754240     RESP   1899 
     21754248     RESP   1906 
     21754256     RESP   1924 
     21754264     RESP   1933 
     21754272     RESP   1946 
     21754280     RESP   1958 
     21754288     RESP   1967 
     21754296     RESP   1989 
     21754304     RESP   2007 
     21754312     RESP   2021 
     21754320     RESP   2032 
     21754328     RESP   2052 
     21754336     RESP   2070 
     21754344     RESP   2086 
     21754352     RESP   2104 
     21754360     RESP   2131 
     21754368     RESP   2151 
     21754376     RESP   2176 
     21754384     RESP   2198 
     21754392     RESP   2230 
     21754400     RESP   2255 
     21754408     RESP   2277 
     21754416     RESP   2311 
     21754424     RESP   2329 
     21754432     RESP   2369 
     21754440     RESP   2396 
     21754448     RESP   2423 
     21754456     RESP   2446 
     21754464     RESP   2457 
     21754472     RESP   2462 
     21754480     RESP   2473 
     21754488     RESP   2482 
     21754496     RESP   2525 
     21754504     RESP   2547 
     21754512     RESP   2597 
     21754520     RESP   2630 
     21754528     RESP   2682 
     21754536     RESP   2720 
     21754544     RESP   2763 
     21754552     RESP   2790 
     21754560     RESP   2817 
     21754568     RESP   2862 
     21754576     RESP   2896 
     21754584     RESP   2918 
     21754592     RESP   2941 
     21754600     RESP   2977 
     21754608     RESP   3022 
     21754616     RESP   3040 
     21754624     RESP   3078 
     21754632     RESP   3112 
     21754640     RESP   3152 
     21754648     RESP   3191 
     21754656     RESP   3236 
     21754664     RESP   3272 
     21754672     RESP   3312 
     21754680     RESP   3344 
     21754688     RESP   3377 
     21754696     RESP   3416 
     21754704     RESP   3452 
     21754712     RESP   3479 
     21754720     RESP   3499 
     21754728     RESP   3530 
     21754736     RESP   3560 
     21754744     RESP   3589 
     21754752     RESP   3609 
     21754760     RESP   3650 
     21754768     RESP   3661 
     21754776     RESP   3683 
     21754784     RESP   3699 
     21754792     RESP   3724 
     21754800     RESP   3740 
     21754808     RESP   3742 
     21754816     RESP   3746 
     21754824     RESP   3737 
     21754832     RESP   3751 
     21754840     RESP   3746 
     21754848     RESP   3751 
     21754856     RESP   3742 
     21754864     RESP   3728 
     21754872     RESP   3699 
     21754880     RESP   3663 
     21754888     RESP   3638 
     21754896     RESP   3580 
     21754904     RESP   3524 
     21754912     RESP   3463 
     21754920     RESP   3418 
     21754928     RESP   3371 
     21754936     RESP   3335 
     21754944     RESP   3305 
     21754952     RESP   3265 
     21754960     RESP   3238 
     21754968     RESP   3191 
     21754976     RESP   3152 
     21754984     RESP   3112 
     21754992     RESP   3074 
     21755000     RESP   3049 
     21755008     RESP   3017 
     21755016     RESP   2972 
     21755024     RESP   2932 
     21755032     RESP   2887 
     21755040     RESP   2844 
     21755048     RESP   2815 
     21755056     RESP   2795 
     21755064     RESP   2756 
     21755072     RESP   2727 
     21755080     RESP   2680 
     21755088     RESP   2642 
     21755096     RESP   2606 
     21755104     RESP   2561 
     21755112     RESP   2522 
     21755120     RESP   2475 
     21755128     RESP   2448 
     21755136     RESP   2417 
     21755144     RESP   2408 
     21755152     RESP   2360 
     21755160     RESP   2354 
     21755168     RESP   2318 
     21755176     RESP   2302 
     21755184     RESP   2264 
     21755192     RESP   2243 
     21755200     RESP   2214 
     21755208     RESP   2187 
     21755216     RESP   2158 
     21755224     RESP   2126 
     21755232     RESP   2117 
     21755240     RESP   2104 
     21755248     RESP   2088 
     21755256     RESP   2063 
     21755264     RESP   2043 
     21755272     RESP   2021 
     21755280     RESP   1994 
     21755288     RESP   1967 
     21755296     RESP   1917 
     21755304     RESP   1865 
     21755312     RESP   1823 
     21755320     RESP   1800 
     21755328     RESP   1778 
     21755336     RESP   1764 
     21755344     RESP   1753 
     21755352     RESP   1746 
     21755360     RESP   1744 
     21755368     RESP   1735 
     21755376     RESP   1724 
     21755384     RESP   1701 
     21755392     RESP   1699 
     21755400     RESP   1683 
     21755408     RESP   1667 
     21755416     RESP   1647 
     21755424     RESP   1618 
     21755432     RESP   1609 
     21755440     RESP   1593 
     21755448     RESP   1602 
     21755456     RESP   1584 
     21755464     RESP   1580 
     21755472     RESP   1566 
     21755480     RESP   1557 
     21755488     RESP   1555 
     21755496     RESP   1544 
     21755504     RESP   1528 
     21755512     RESP   1519 
     21755520     RESP   1505 
     21755528     RESP   1501 
     21755536     RESP   1483 
     21755544     RESP   1469 
     21755552     RESP   1447 
     21755560     RESP   1445 
     21755568     RESP   1429 
     21755576     RESP   1433 
     21755584     RESP   1433 
     21755592     RESP   1445 
     21755600     RESP   1447 
     21755608     RESP   1456 
     21755616     RESP   1445 
     21755624     RESP   1440 
     21755632     RESP   1438 
     21755640     RESP   1438 
     21755648     RESP   1427 
     21755656     RESP   1413 
     21755664     RESP   1413 
     21755672     RESP   1424 
     21755680     RESP   1404 
     21755688     RESP   1393 
     21755696     RESP   1359 
     21755704     RESP   1337 
     21755712     RESP   1307 
     21755720     RESP   1310 
     21755728     RESP   1303 
     21755736     RESP   1316 
     21755744     RESP   1321 
     21755752     RESP   1330 
     21755760     RESP   1352 
     21755768     RESP   1357 
     21755776     RESP   1364 
     21755784     RESP   1359 
     21755792     RESP   1373 
     21755800     RESP   1382 
     21755808     RESP   1388 
     21755816     RESP   1391 
     21755824     RESP   1382 
     21755832     RESP   1397 
     21755840     RESP   1395 
     21755848     RESP   1418 
     21755856     RESP   1418 
     21755864     RESP   1429 
     21755872     RESP   1429 
     21755880     RESP   1438 
     21755888     RESP   1451 
     21755896     RESP   1456 
     21755904     RESP   1458 
     21755912     RESP   1460 
     21755920     RESP   1469 
     21755928     RESP   1472 
     21755936     RESP   1474 
     21755944     RESP   1476 
     21755952     RESP   1483 
     21755960     RESP   1485 
     21755968     RESP   1492 
     21755976     RESP   1499 
     21755984     RESP   1505 
     21755992     RESP   1503 
     21756000     RESP   1512 
     21756008     RESP   1517 
     21756016     RESP   1519 
     21756024     RESP   1535 
     21756032     RESP   1535 
     21756040     RESP   1537 
     21756048     RESP   1544 
     21756056     RESP   1546 
     21756064     RESP   1555 
     21756072     RESP   1562 
     21756080     RESP   1571 
     21756088     RESP   1575 
     21756096     RESP   1564 
     21756104     RESP   1553 
     21756112     RESP   1544 
     21756120     RESP   1541 
     21756128     RESP   1526 
     21756136     RESP   1530 
     21756144     RESP   1523 
     21756152     RESP   1535 
     21756160     RESP   1555 
     21756168     RESP   1562 
     21756176     RESP   1568 
