UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 48
NumVolumes  = 30
NumEchoes   = 3

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     1      31         21755526         21755534     2
     1      43         21755526         21755534     2
     2       0         21755551         21755558     0
     2      12         21755551         21755558     0
     2      24         21755551         21755558     0
     2      36         21755551         21755558     0
     2       0         21755559         21755566     1
     2      12         21755559         21755566     1
     2      24         21755559         21755566     1
     2      36         21755559         21755566     1
     2       0         21755567         21755575     2
     2      12         21755567         21755575     2
     2      24         21755567         21755575     2
     2      36         21755567         21755575     2
     2       5         21755583         21755591     0
     2      17         21755583         21755591     0
     2      29         21755583         21755591     0
     2      41         21755583         21755591     0
     2       5         21755591         21755599     1
     2      17         21755591         21755599     1
     2      29         21755591         21755599     1
     2      41         21755591         21755599     1
     2       5         21755600         21755607     2
     2      17         21755600         21755607     2
     2      29         21755600         21755607     2
     2      41         21755600         21755607     2
     2      10         21755616         21755623     0
     2      22         21755616         21755623     0
     2      34         21755616         21755623     0
     2      46         21755616         21755623     0
     2      10         21755624         21755631     1
     2      22         21755624         21755631     1
     2      34         21755624         21755631     1
     2      46         21755624         21755631     1
     2      10         21755632         21755640     2
     2      22         21755632         21755640     2
     2      34         21755632         21755640     2
     2      46         21755632         21755640     2
     2       3         21755648         21755656     0
     2      15         21755648         21755656     0
     2      27         21755648         21755656     0
     2      39         21755648         21755656     0
     2       3         21755656         21755664     1
     2      15         21755656         21755664     1
     2      27         21755656         21755664     1
     2      39         21755656         21755664     1
     2       3         21755665         21755672     2
     2      15         21755665         21755672     2
     2      27         21755665         21755672     2
     2      39         21755665         21755672     2
     2       8         21755681         21755688     0
     2      20         21755681         21755688     0
     2      32         21755681         21755688     0
     2      44         21755681         21755688     0
     2       8         21755689         21755696     1
     2      20         21755689         21755696     1
     2      32         21755689         21755696     1
     2      44         21755689         21755696     1
     2       8         21755697         21755705     2
     2      20         21755697         21755705     2
     2      32         21755697         21755705     2
     2      44         21755697         21755705     2
     2       1         21755713         21755721     0
     2      13         21755713         21755721     0
     2      25         21755713         21755721     0
     2      37         21755713         21755721     0
     2       1         21755721         21755729     1
     2      13         21755721         21755729     1
     2      25         21755721         21755729     1
     2      37         21755721         21755729     1
     2       1         21755730         21755737     2
     2      13         21755730         21755737     2
     2      25         21755730         21755737     2
     2      37         21755730         21755737     2
     2       6         21755746         21755753     0
     2      18         21755746         21755753     0
     2      30         21755746         21755753     0
     2      42         21755746         21755753     0
     2       6         21755754         21755761     1
     2      18         21755754         21755761     1
     2      30         21755754         21755761     1
     2      42         21755754         21755761     1
     2       6         21755762         21755770     2
     2      18         21755762         21755770     2
     2      30         21755762         21755770     2
     2      42         21755762         21755770     2
     2      11         21755778         21755786     0
     2      23         21755778         21755786     0
     2      35         21755778         21755786     0
     2      47         21755778         21755786     0
     2      11         21755786         21755794     1
     2      23         21755786         21755794     1
     2      35         21755786         21755794     1
     2      47         21755786         21755794     1
     2      11         21755795         21755802     2
     2      23         21755795         21755802     2
     2      35         21755795         21755802     2
     2      47         21755795         21755802     2
     2       4         21755811         21755818     0
     2      16         21755811         21755818     0
     2      28         21755811         21755818     0
     2      40         21755811         21755818     0
     2       4         21755819         21755826     1
     2      16         21755819         21755826     1
     2      28         21755819         21755826     1
     2      40         21755819         21755826     1
     2       4         21755827         21755835     2
     2      16         21755827         21755835     2
     2      28         21755827         21755835     2
     2      40         21755827         21755835     2
     2       9         21755843         21755851     0
     2      21         21755843         21755851     0
     2      33         21755843         21755851     0
     2      45         21755843         21755851     0
     2       9         21755851         21755859     1
     2      21         21755851         21755859     1
     2      33         21755851         21755859     1
     2      45         21755851         21755859     1
     2       9         21755860         21755867     2
     2      21         21755860         21755867     2
     2      33         21755860         21755867     2
     2      45         21755860         21755867     2
     2       2         21755875         21755883     0
     2      14         21755875         21755883     0
     2      26         21755875         21755883     0
     2      38         21755875         21755883     0
     2       2         21755884         21755891     1
     2      14         21755884         21755891     1
     2      26         21755884         21755891     1
     2      38         21755884         21755891     1
     2       2         21755892         21755900     2
     2      14         21755892         21755900     2
     2      26         21755892         21755900     2
     2      38         21755892         21755900     2
     2       7         21755908         21755916     0
     2      19         21755908         21755916     0
     2      31         21755908         21755916     0
     2      43         21755908         21755916     0
     2       7         21755916         21755924     1
     2      19         21755916         21755924     1
     2      31         21755916         21755924     1
     2      43         21755916         21755924     1
     2       7         21755924         21755932     2
     2      19         21755924         21755932     2
     2      31         21755924         21755932     2
     2      43         21755924         21755932     2
     3       0         21755949         21755956     0
     3      12         21755949         21755956     0
     3      24         21755949         21755956     0
     3      36         21755949         21755956     0
     3       0         21755957         21755964     1
     3      12         21755957         21755964     1
     3      24         21755957         21755964     1
     3      36         21755957         21755964     1
     3       0         21755965         21755973     2
     3      12         21755965         21755973     2
     3      24         21755965         21755973     2
     3      36         21755965         21755973     2
     3       5         21755981         21755989     0
     3      17         21755981         21755989     0
     3      29         21755981         21755989     0
     3      41         21755981         21755989     0
     3       5         21755989         21755997     1
     3      17         21755989         21755997     1
     3      29         21755989         21755997     1
     3      41         21755989         21755997     1
     3       5         21755998         21756005     2
     3      17         21755998         21756005     2
     3      29         21755998         21756005     2
     3      41         21755998         21756005     2
     3      10         21756014         21756021     0
     3      22         21756014         21756021     0
     3      34         21756014         21756021     0
     3      46         21756014         21756021     0
     3      10         21756022         21756029     1
     3      22         21756022         21756029     1
     3      34         21756022         21756029     1
     3      46         21756022         21756029     1
     3      10         21756030         21756038     2
     3      22         21756030         21756038     2
     3      34         21756030         21756038     2
     3      46         21756030         21756038     2
     3       3         21756046         21756054     0
     3      15         21756046         21756054     0
     3      27         21756046         21756054     0
     3      39         21756046         21756054     0
     3       3         21756054         21756062     1
     3      15         21756054         21756062     1
     3      27         21756054         21756062     1
     3      39         21756054         21756062     1
     3       3         21756063         21756070     2
     3      15         21756063         21756070     2
