UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21534813     RESP   1760 
     21534821     RESP   1778 
     21534829     RESP   1802 
     21534837     RESP   1829 
     21534845     RESP   1853 
     21534853     RESP   1874 
     21534861     RESP   1910 
     21534869     RESP   1943 
     21534877     RESP   1970 
     21534885     RESP   2000 
     21534893     RESP   2027 
     21534901     RESP   2063 
     21534909     RESP   2102 
     21534917     RESP   2132 
     21534925     RESP   2165 
     21534933     RESP   2192 
     21534941     RESP   2225 
     21534949     RESP   2258 
     21534957     RESP   2294 
     21534965     RESP   2324 
     21534973     RESP   2360 
     21534981     RESP   2387 
     21534989     RESP   2423 
     21534997     RESP   2450 
     21535005     RESP   2483 
     21535013     RESP   2510 
     21535021     RESP   2531 
     21535029     RESP   2558 
     21535037     RESP   2582 
     21535045     RESP   2600 
     21535053     RESP   2615 
     21535061     RESP   2639 
     21535069     RESP   2669 
     21535077     RESP   2687 
     21535085     RESP   2705 
     21535093     RESP   2723 
     21535101     RESP   2750 
     21535109     RESP   2777 
     21535117     RESP   2801 
     21535125     RESP   2819 
     21535133     RESP   2837 
     21535141     RESP   2852 
     21535149     RESP   2864 
     21535157     RESP   2882 
     21535165     RESP   2891 
     21535173     RESP   2894 
     21535181     RESP   2894 
     21535189     RESP   2894 
     21535197     RESP   2876 
     21535205     RESP   2849 
     21535213     RESP   2825 
     21535221     RESP   2795 
     21535229     RESP   2771 
     21535237     RESP   2744 
     21535245     RESP   2705 
     21535253     RESP   2660 
     21535261     RESP   2630 
     21535269     RESP   2591 
     21535277     RESP   2546 
     21535285     RESP   2495 
     21535293     RESP   2453 
     21535301     RESP   2405 
     21535309     RESP   2360 
     21535317     RESP   2303 
     21535325     RESP   2252 
     21535333     RESP   2204 
     21535341     RESP   2165 
     21535349     RESP   2123 
     21535357     RESP   2087 
     21535365     RESP   2054 
     21535373     RESP   2015 
     21535381     RESP   1985 
     21535389     RESP   1961 
     21535397     RESP   1931 
     21535405     RESP   1904 
     21535413     RESP   1877 
     21535421     RESP   1850 
     21535429     RESP   1829 
     21535437     RESP   1805 
     21535445     RESP   1784 
     21535453     RESP   1760 
     21535461     RESP   1748 
     21535469     RESP   1733 
     21535477     RESP   1715 
     21535485     RESP   1700 
     21535493     RESP   1691 
     21535501     RESP   1688 
     21535509     RESP   1685 
     21535517     RESP   1679 
     21535525     RESP   1673 
     21535533     RESP   1670 
     21535541     RESP   1670 
     21535549     RESP   1664 
     21535557     RESP   1664 
     21535565     RESP   1658 
     21535573     RESP   1658 
     21535581     RESP   1655 
     21535589     RESP   1652 
     21535597     RESP   1643 
     21535605     RESP   1637 
     21535613     RESP   1637 
     21535621     RESP   1634 
     21535629     RESP   1640 
     21535637     RESP   1637 
     21535645     RESP   1634 
     21535653     RESP   1628 
     21535661     RESP   1628 
     21535669     RESP   1625 
     21535677     RESP   1631 
     21535685     RESP   1628 
     21535693     RESP   1631 
     21535701     RESP   1625 
     21535709     RESP   1622 
     21535717     RESP   1619 
     21535725     RESP   1628 
     21535733     RESP   1637 
