UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21530477     PULS   3285 
     21530479     PULS   3323 
     21530481     PULS   3353 
     21530483     PULS   3375 
     21530485     PULS   3398 
     21530487     PULS   3413 
     21530489     PULS   3428 
     21530491     PULS   3428 
     21530493     PULS   3420 
     21530495     PULS   3413 
     21530497     PULS   3390 
     21530499     PULS   3368 
     21530501     PULS   3345 
     21530503     PULS   3308 
     21530505     PULS   3278 
     21530507     PULS   3248 
     21530509     PULS   3225 
     21530511     PULS   3180 
     21530513     PULS   3150 
     21530515     PULS   3105 
     21530517     PULS   3075 
     21530519     PULS   3030 
     21530521     PULS   2993 
     21530523     PULS   2955 
     21530525     PULS   2925 
     21530527     PULS   2895 
     21530529     PULS   2858 
     21530531     PULS   2828 
     21530533     PULS   2790 
     21530535     PULS   2753 
     21530537     PULS   2715 
     21530539     PULS   2670 
     21530541     PULS   2625 
     21530543     PULS   2573 
     21530545     PULS   2528 
     21530547     PULS   2483 
     21530549     PULS   2438 
     21530551     PULS   2385 
     21530553     PULS   2348 
     21530555     PULS   2295 
     21530557     PULS   2258 
     21530559     PULS   2220 
     21530561     PULS   2183 
     21530563     PULS   2160 
     21530565     PULS   2145 
     21530567     PULS   2130 
     21530569     PULS   2115 
     21530571     PULS   2115 
     21530573     PULS   2115 
     21530575     PULS   2115 
     21530577     PULS   2108 
     21530579     PULS   2108 
     21530581     PULS   2100 
     21530583     PULS   2085 
     21530585     PULS   2070 
     21530587     PULS   2063 
     21530589     PULS   2063 
     21530591     PULS   2055 
     21530593     PULS   2063 
     21530595     PULS   2063 
     21530597     PULS   2070 
     21530599     PULS   2070 
     21530601     PULS   2070 
     21530603     PULS   2055 
     21530607     PULS   2033 
     21530609     PULS   2025 
     21530611     PULS   2018 
     21530613     PULS   1995 
     21530615     PULS   1988 
     21530617     PULS   1980 
     21530619     PULS   1973 
     21530621     PULS   1958 
     21530623     PULS   1943 
     21530625     PULS   1935 
     21530627     PULS   1928 
     21530629     PULS   1913 
     21530631     PULS   1905 
     21530633     PULS   1883 
     21530635     PULS   1868 
     21530637     PULS   1853 
     21530639     PULS   1838 
     21530641     PULS   1808 
     21530643     PULS   1778 
     21530645     PULS   1755 
     21530647     PULS   1725 
     21530649     PULS   1695 
     21530651     PULS   1673 
     21530653     PULS   1658 
     21530655     PULS   1650 
     21530657     PULS   1643 
     21530659     PULS   1643 
     21530661     PULS   1635 
     21530663     PULS   1635 
     21530665     PULS   1635 
     21530667     PULS   1628 
     21530669     PULS   1628 
     21530671     PULS   1635 
     21530673     PULS   1628 
     21530675     PULS   1620 
     21530677     PULS   1605 
     21530679     PULS   1583 
     21530681     PULS   1568 
     21530683     PULS   1545 
     21530685     PULS   1538 
     21530687     PULS   1523 
     21530689     PULS   1508 
     21530691     PULS   1500 
     21530693     PULS   1485 
     21530695     PULS   1478 
     21530697     PULS   1463 
     21530699     PULS   1455 
     21530701     PULS   1448 
     21530703     PULS   1440 
     21530705     PULS   1433 
     21530707     PULS   1433 
     21530709     PULS   1433 
     21530711     PULS   1440 
     21530713     PULS   1448 
     21530715     PULS   1455 
     21530717     PULS   1463 
     21530719     PULS   1478 
     21530721     PULS   1485 
     21530723     PULS   1493 
     21530725     PULS   1493 
     21530727     PULS   1500 
     21530729     PULS   1500 
     21530731     PULS   1485 
     21530733     PULS   1470 
     21530735     PULS   1470 
     21530737     PULS   1463 
     21530739     PULS   1463 
     21530741     PULS   1463 
     21530743     PULS   1463 
     21530745     PULS   1470 
     21530747     PULS   1478 
     21530749     PULS   1478 
     21530751     PULS   1478 
     21530753     PULS   1470 
     21530755     PULS   1463 
     21530757     PULS   1455 
     21530759     PULS   1440 
     21530761     PULS   1433 
     21530763     PULS   1433 
     21530765     PULS   1440 
     21530767     PULS   1448 
     21530769     PULS   1463 
     21530771     PULS   1478 
     21530773     PULS   1485 
     21530775     PULS   1485 
     21530777     PULS   1493 
     21530779     PULS   1485 
     21530781     PULS   1485 
     21530783     PULS   1485 
     21530785     PULS   1485 
     21530787     PULS   1500 
     21530789     PULS   1515 
     21530791     PULS   1545 
     21530793     PULS   1568 
     21530795     PULS   1605 
     21530797     PULS   1643 
     21530799     PULS   1695 
     21530801     PULS   1755 
     21530803     PULS   1815 
     21530805     PULS   1883 
     21530807     PULS   1965 
     21530811     PULS   2145 
     21530813     PULS   2235 
     21530815     PULS   2325 
     21530817     PULS   2415 
     21530819     PULS   2505 
     21530821     PULS   2580 
     21530823     PULS   2663 
     21530825     PULS   2745 
     21530827     PULS   2820 
     21530829     PULS   2880 
     21530831     PULS   2933 
     21530833     PULS   2985 
     21530835     PULS   3030 
     21530837     PULS   3075 
     21530839     PULS   3113 
     21530841     PULS   3143 
     21530843     PULS   3188 
     21530845     PULS   3218 
     21530847     PULS   3233 
     21530849     PULS   3255 
     21530851     PULS   3263 
     21530853     PULS   3270 
     21530855     PULS   3270 
     21530857     PULS   3278 
     21530859     PULS   3270 
     21530861     PULS   3255 
     21530863     PULS   3233 
     21530865     PULS   3203 
     21530867     PULS   3173 
     21530869     PULS   3143 
     21530871     PULS   3105 
     21530873     PULS   3075 
     21530875     PULS   3030 
     21530877     PULS   3000 
     21530879     PULS   2970 
     21530881     PULS   2925 
     21530883     PULS   2888 
     21530885     PULS   2858 
     21530887     PULS   2820 
     21530889     PULS   2783 
     21530891     PULS   2760 
     21530893     PULS   2723 
     21530895     PULS   2693 
     21530897     PULS   2655 
     21530899     PULS   2618 
     21530901     PULS   2580 
     21530903     PULS   2550 
     21530905     PULS   2520 
     21530907     PULS   2483 
     21530909     PULS   2460 
     21530911     PULS   2423 
     21530913     PULS   2393 
     21530915     PULS   2363 
     21530917     PULS   2333 
     21530919     PULS   2303 
     21530921     PULS   2265 
     21530923     PULS   2243 
     21530925     PULS   2205 
     21530927     PULS   2183 
     21530929     PULS   2168 
     21530931     PULS   2145 
     21530933     PULS   2130 
     21530935     PULS   2108 
     21530937     PULS   2108 
     21530939     PULS   2108 
     21530941     PULS   2108 
     21530943     PULS   2123 
     21530945     PULS   2123 
     21530947     PULS   2123 
     21530949     PULS   2130 
     21530951     PULS   2130 
     21530953     PULS   2145 
     21530955     PULS   2145 
     21530957     PULS   2145 
     21530959     PULS   2145 
     21530961     PULS   2130 
     21530963     PULS   2130 
     21530965     PULS   2123 
     21530967     PULS   2123 
     21530969     PULS   2123 
     21530971     PULS   2123 
     21530973     PULS   2123 
     21530975     PULS   2115 
     21530977     PULS   2108 
     21530979     PULS   2100 
     21530981     PULS   2093 
     21530983     PULS   2085 
     21530985     PULS   2085 
     21530987     PULS   2078 
     21530989     PULS   2063 
     21530991     PULS   2063 
     21530995     PULS   2025 
     21530997     PULS   2010 
     21530999     PULS   1995 
     21531001     PULS   1980 
     21531003     PULS   1958 
     21531005     PULS   1950 
     21531007     PULS   1935 
     21531009     PULS   1928 
     21531011     PULS   1913 
     21531013     PULS   1913 
     21531015     PULS   1913 
     21531017     PULS   1920 
     21531019     PULS   1928 
